HK7513625,Animal Encyclopedia,Dorling Kindersley Publishing Staff,Dorling Kindersley,2000
CN3953536,Anne Sexton : A Biography,Diane Wood Middlebrook,Houghton Mifflin Company,1991
REL764301,Antique Typewriters: From Creed to QWERTY,Michael Adler,Schiffer Publishing,2000
130412600,Applied Linear Algebra (3rd Edition),Ben Noble,Prentice Hall,1987
671557378,ARIANE,Catherine Lyndell,Pocket,1987
MJ0393956,Art of Reasoning,David Kelley,W.W. Norton Company Ltd,1988
425136639,Ashes (Berkley True Crime),James Joseph,Berkley Pub Group,1994
MJ7434703,At Home in Covington (Covington),Joan Medlicott,Atria,2004
039578607,Audubon's Watch: A Novel,John Gregory Brown,Houghton Mifflin Company,2001
MJ0674001,Avatars of the Word: From Papyrus to Cyberspace,James J. O'Donnell,Harvard University Press,2000
NOV743219,Baby Catcher : Chronicles of a Modern Midwife,Peggy Vincent,Scribner,2002
HK1575664,Backstage Murder,Shelley Freydont,Kensington Publishing Corp.,1999
307084426,Ballerina,Golden Books,Golden Books,1996
782903762,Barney's hats,Mary Ann Dudko,Barney Pub,1993
HK8867782,Battle Magic,Martin Harry Greenberg,Daw Books,1998
CC1901297,Beastly Chronicles of of Saki,Saki,Pickwick Group Limited (ABM),1999
64434516,Bedtime for Frances,Russell Hoban,HarperTrophy,1995
806501952,Being and Nothingness: An Essay in Phenomenological Ontology,Jean Paul Sartre,Lyle Stuart Hardcover,1964
NOV300095,Benjamin Franklin,Edmund S. Morgan,Yale University Press,2002
CN8818485,Best New Horror 3,Stephen Jones,Pub Group West,1992
NY1308325,Betty Crocker's New Chinese Cookbook,Leeann Chin,John Wiley Sons,1990
CN3453308,Beyond the Draak's Teeth,Marcia J. Bennett,Del Rey Books,1989
BK1564585,Big Pictures: Things On Wheels,Jerry Young,Dorling Kindersley,1994
NOV155105,Birds of Alberta,Chris C. Fisher,Lone Pine@ Publishing,1998
CN3930364,Black Betty (Easy Rawlins Mysteries (Hardcover)),Walter Mosley,W. W. Norton Company,1994
HK7615248,Black White: Prima's Official Strategy Guide,DEAN EVANS,Prima Lifestyles,2001
NOV425041,Blind Voices,Tom Reamy,Berkley Pub Group,1979
REL082176,Blood Secrets (Vampire Legacy),Karen Taylor,Zebra Books,1998
MJ3165709,Blue Light,Walter Mosley,Little,1998
MJ3121924,Body Language,James W. Hall,St. Martin's Press,1998
NOV140432,Book of Margery Kempe,Margery Kempe,Penguin USA (Paper),2000
NOV446513,Boss Lady's: Arrival and Survival Plan,Jo Foxworth,Warner Books,1986
CN3731040,Brand of Possession,Carole Mortimer,Harlequin Sales Corp,1981
CC8112102,Breathing the Water,Denise Levertov,New Directions Publishing Corporation,1987
NY3123034,Brilliant,Marne Davis Kellogg,St. Martin's Press,2003
BK1585420,Bruce! : My Adventures in the Skin Trade and Other Essays,Bruce Vilanch,Jeremy P. Tarcher,2000
BK4403084,Bulfinch's Mythology (Laurel Classic),Thomas Bulfinch,Dell Publishing Company,1990
MJ1841120,Business the Amazon Way (Bigshots S.),Rebecca Saunders,Capstone Publishing,1999
MJ3352005,C++ handbook: The bible for programmers,Jimmy Hui,HKCC Book Store,2000
345316095,"C++, From beginner to professional",Ken; Sun; David; Jimmy; Michael; Russell,HKCC Book Store,2023
074321689,Call Me Crazy : A Memoir (Lisa Drew Books (Hardcover)),Anne Heche,Scribner,2001
773049835,Canadian Essay,Gerald Lynch,Addison Wesley Pub Ltd,1991
BK4492306,CAPTAINS AND THE KING,Taylor Caldwell,Fawcett Books,1976
HK8167202,Caroline Zucker and the Birthday Disaster (Caroline Zucker Series),Jan Bradford,Troll Communications,1991
MJ4392705,Castaway Survivor's Guide,Rory Storm,Apple,2001
NOV689830,CatDog Undercover (Catdog),Steven Banks,Simon Spotlight,2000
786832622,Celebrate the Year with Winnie the Pooh (A Disney Holiday Treasury),Various Artists,Hyperion Books,1999
550180311,Chambers pocket guide to good spelling,George W Davidson,Chambers,1986
CN1403286,Charlie and the Chocolate Factory,Roald Dahl,Puffin Books,1994
618035915,Chemistry,Steven S. Zumdahl,Not Avail,2000
NOV037324,Child She Always Wanted (Family Revelations) (Silhouette 1410),Jennifer Mikels,Silhouette,2001
BK0743251,ChiRunning,Danny Dreyer,Fireside,2004
CN5904331,Christmas Killer (Point),Patricia Windsor,Scholastic Paperbacks,1992
NY3737652,Cinderella's Millionaire  (Dynasties:  The Barones),Katherine Garbera,Silhouette,2003
REL843970,Ciudad,Michael Marshall Smith,Mondadori (IT),1999
185424025,Clearing Away the Rubbish,Adrian Plass,Minstrel Books,1988
CC8887838,Clouds Without Heaven,Mary Cameron,Porcepic Books,1998
REL385313,Cold Cold Heart,James Elliott,Bantam Dell Pub Group,1994
MJ3731625,Colonel For Jenny,Anne Henry,Harlequin,1988
CN3731074,Coming Home,Alison Fraser,Harlequin,1984
HK3426701,Comparison between C++ and Java,"D., Chu; J., Hui; M., Yeung; R., Lo",HKCC Book Store,2021
NOV357006,Comparison between C++ and Python,"Chu T. W., David",HKCC Book Store,2022
BK0883651,Complete book of the bow and arrow,G. Howard Gillelan,Galahad Books,1974
MJ1879237,Concerned Intervention: When Your Loved One Won't Quit Alcohol or Drugs,John O'Neill,New Harbinger Pubns Inc,1992
NY0935702,Consider a Spherical Cow: A Course in Environmental Problem Solving,John Harte,University Science Books,1988
157719759,Cookin' on Broadway,Richard Simmons,The Richard Simmons Living Trust,2000
REL800708,Corrie's Christmas Memories,Corrie. Ten Boom,Baker Pub Group,1976
BK7736732,Court Jesters Cartoons,Peter MacDonald,Stoddart,1991
451408853,Crash Dive,John McKinna,Onyx Books,1999
CN3939665,Cretaceous-Tertiary Mass Extinctions: Biotic and Environmental Changes,Norman MacLeod,W. W. Norton Company,1996
MJ8988607,Cross-country skiing,Ned Gillette,Mountaineers,1983
REL345422,Cthulhu 2000: A Lovecraftian Anthology,Jim Turner,Del Rey Books,1999
BK6180656,Curious George Visits the Library (Curious George),H.A. and Margret Rey,Houghton Mifflin,2003
NY3853191,Daddy,Danielle Steel,Delta Trade Paperbacks,1997
553297864,Dance While You Can,Shirley MacLaine,Bantam Books,1992
REL140189,Dangling Man (Penguin Twentieth-Century Classics),Saul Bellow,Penguin Books,1996
MJ6017688,Dark Nature: A Natural History of Evil,Lyall Watson,Harpercollins,1996
344614684,Das Buch vom Lachen und Vergessen.,Milan Kundera,Carl Hanser,1992
CN3548253,Das Medikament.,Michael Palmer,Ullstein Tb,2002
038077027,Daughter of Elysium,Joan Slonczewski,Harper Mass Market Paperbacks,1994
671028138,Day Of Honor Omnibus,Diane Carey,Pocket,1999
REL451411,Dead Guilty,Beverly Connor,Onyx Books,2004
MJ3732608,Deadly Promise,Peggy Ballard,Worldwide Library,1991
HK3732616,Death By Degrees,Eric Wright,Worldwide Library,1995
CN8041091,Death of a Snob,M. C. Beaton,Fawcett Books,1992
CC3453377,Decision at Donna,Anne McCaffrey,Del Rey Books,1981
NOV312977,Delirium of the Brave,William C. Harris,St. Martin's Paperbacks,2001
349223371,Der demokratische Terrorist. Ein Coq- Rouge- Thriller.,Jan Guillou,Piper,2001
HK3492038,Der Maler.,Daniel Silva,Piper,1998
CC3150088,Der Verbrecher Aus Verlorener Ehre,Friedrich Schiller,Philipp Reclam,1998
MJ4250523,Designs,Richard Horn,Berkley Pub Group,1982
HK3732891,Devil Earl (Harlequin Historical),Deborah Simmons,Harlequin,1996
439084113,Diary of a Junior Year (Real Teens),Anonymous,Apple Signature (Scholastic),2000
MJ8433920,Dinero,Martin Amis,Anagrama,1995
BK8499056,Disciplines of the Heart: Tuning Your Inner Life to God,Anne Ortlund,Thomas Nelson Inc,1987
REL039303,Disobedience: A Novel,Michael Drinkard,W. W. Norton Company,1993
NOV059045,Do the Funky Pickle (School Daze),Jerry Spinelli,Scholastic,1995
375412328,Dogwalker: Stories,Arthur Bradford,Alfred A. Knopf,2001
BK1877988,Don't Go to the Cosmetics Counter Without Me,Paula Begoun,Beginning Press,2003
NY8499121,Double Helix,Sigmund Brouwer,W Publishing Group,1995
REL087857,Dr. Pitcairn's Complete Guide to Natural Health for Dogs and Cats,Richard H. Pitcairn,St Martins Pr,1982
713116765,Dragonsteeth,E. Williams,Hodder Stoughton Educational Division,1972
HK1400082,Dreams from My Father : A Story of Race and Inheritance,Barack Obama,Three Rivers Press,2004
841501653,Drustan the Wanderer;: A novel based on the legend of Tristan and Isolde,Anna Taylor,Saturday Review Press,1972
NY4514067,Duty and Dishonor,Merline Lovelace,Onyx Books,1997
HK8715668,Earthborn: In Celebration of Wild Places,John Beatty,Univ of California Pr,1989
227722658,Echine,Djian,Editions 84,1995
NY3057469,Editing,R. Thomas Berner,Holt,1982
HK3257063,Ein perfekter Freund.,Martin Suter,Diogenes,2002
BK2700502,El Chino De Bolsillo,Assimil,Distribooks Inc,2000
950072383,El Libro Negro de Las Grandes Marcas,Hans Weiss,Sudamericana,2003
843391278,El Temible Blott/Blott on the Landscape,Tom Sharpe,Lectorum Pubns (Adult),1986
NOV842307,Elizabeth Gail and the Dangerous Double (Elizabeth Gail),Hilda Stahl,Tyndale House Pub,1988
345356640,Emergency Doctor,Edward Ziegler,Ballantine Books,1995
HK8473865,En Las Profundidades,Arthur Charles Clarke,Ultramar,1995
HK5535729,Endymion,DAN SIMMONS,Bantam,1996
830810129,Ephesians (Lifebuilder Bible Studies),Andrew T. Lepeau,Intervarsity Pr,1985
BK6440838,ESP TV,Mary Rodgers,HarperTrophy,1999
CN0140440,Eugenie Grandet (Penguin Classics),Honore De Balzac,Penguin Books,1955
NY3120333,Everybody Loves You (Stonewall Inn),Ethan Mordden,St. Martin's Griffin,1989
425158632,Executive Orders (Jack Ryan Novels),Tom Clancy,Berkley Publishing Group,1997
786001135,Extraction,Rex Hunter,Pinnacle Books,1995
NY8118163,Face Forward: Young African American Men in a Critical Age,Julian C. R. Okwu,Chronicle Books,1997
159182328,Fake Vol. 3,Sanami Matoh,TokyoPop,2003
MJ4463541,Family Fortunes,Sara Orwig,Warner Books,1989
MJ5521468,Faraway,Lucy Irvine,Flamingo,2001
NY1510038,Father Courage: What Happens When Men Put Family First,Suzanne Braun Levine,Harcourt,2000
MJ7938357,Feeding Backyard Birds (T.F.H. Wild Birds Series),Scott Edwards,TFH Publications,2000
BK1572434,Few and Chosen: Defining Cardinal Greatness Across the Eras,Tim McCarver,Triumph Books,2003
MJ6718944,FINAL DAYS,Carl Bernstein,Simon Schuster,1994
688128017,Finnegan's Week,Joseph Wambaugh,Harpercollins,1993
NOV333247,Fireweed (M-Books),Jill Paton Walsh,Nelson Thornes,1978
373195001,Fit For A Sheik (Virgin Bride) (Silhouette Romance),Carol Grace,Silhouette,2001
NOV312198,Flat Lake in Winter,Joseph T. Klempner,St Martins Pr,1999
373106378,Florida Fever (Harlequin Presents),Elizabeth Oldfield,Harlequin,1983
671298178,Fog Magic,Julia Sauer,Simon Schuster Merchandise  ,1977
BK5151238,For Kicks,Dick Francis,Jove Books,1998
HK1556524,Forever Amber,Kathleen Winsor,Chicago Review Press,2000
BK6003365,Fossils (Hamlyn nature guides),Richard Moody,Hamlyn,1979
BK4522667,Fragile Glory: A Portrait of France and the French,Richard Bernstein,Plume Books,1991
CN6014833,Free Fall in Crimson,John D. MacDonald,Harpercollins,1981
REL226607,French for beginners,Mark Childress,Pocket,1998
CN8018559,Friday,Michel Tournier,Johns Hopkins University Press,1997
HK7502273,From Puppy to Dog (How Do They Grow?),Jillian Powell,Hodder Wayland,2001
MJ4463649,Fulcrum:A Top Gun Pilot's Escape From the Soviet Empire,Malcolm McConnell,Warner Books,1993
NOV831756,Fuzzypeg Goes to School (The Little Grey Rabbit Library),Alison Uttley,Popular Culture Ink,1986
NY7862233,Garden of Evil: A Britt Montero Mystery (Thorndike Large Print Mystery Series),Edna Buchanan,Thorndike Press,2000
CN4862018,Geometrical Design Coloring Book,Horemis,Dover Publications,1974
394709705,Getting Clear: Body Work for Women,Anne Kent Rush,Random House Inc,1973
553232401,Ghosts,Ed McBain,Bantam Books,1983
NY4251935,Girl from the South,Joanna Trollope,Berkley Publishing Group,2003
BK9706612,Globalizar La Solidaridad/globalize Solidarity,Edamex,Giron Spanish Books Distributors,2004
MJ0195091,Goddesses in World Mythology,Martha Ann,Oxford University Press,1995
NOV962262,Gold Rush: The Black Hills Story,John D. McDermott,South Dakota State Historical Society,2001
451208617,Good Hope Road,Lisa Wingate,New American Library,2003
877736987,Grace and Grit,KEN WILBER,Shambhala,1992
CC1588515,Graven Images,Nancy Mehl,Publish America,2001
MJ6080598,Great short works of Henry David Thoreau (Perennial library),Henry David Thoreau,Harper Row,1982
NOV811812,Griffin Sabine: The Complete Postcards,Nick Bantock,Chronicle Books,1995
NY8867791,Guardsmen of Tomorrow,Martin H. Greenberg,Daw Books,2000
REL821725,Gunsmoke Justice,Doyle Trent,Kensington Publishing Corporation,1989
NY8167350,Halloween Friends (Mini Shaped Books),Rita Walsh,Watermill Press,1994
NOV312981,Hangman's Creek (A Luke Starbuck Novel),Matt Braun,St. Martin's Paperbacks,2002
189204926,Hardball on the Hill: Baseball Stories from Our Nation's Capital,James C. Roberts,Benchmark Press,2001
60914963,Harvest of Bittersweet,Patricia Leimbach,Harpercollins,1988
385492421,Hawking and Black Holes (Big Idea Series),Paul Strathern,Anchor Books/Doubleday,1998
70116431,Heart At Work,Jack Canfield,Mcgraw-hill Inc,1996
MJ6017476,Heat Wave: A Novel,Penelope Lively,Harpercollins,1996
CN1569716,Hellboy: Bones of Giants,Christopher Golden,Last Gasp,2001
BK8774581,Her Kind of Want (Iowa Short Fiction Award),Jennifer S. Davis,University of Iowa Press,2002
CN8131170,Heroism in the New Black Poetry: Introductions Interviews,D.H. Melhem,Univ Pr of Kentucky,1990
NY7862525,High Country Bride (Thorndike Americana),Linda Lael Miller,Thorndike Press,2003
380758636,Hint of Rapture,Miriam Minger,Harper Mass Market Paperbacks,1990
441338518,Hit or Myth,Robert Asprin,Ace Books,1997
BK6091098,Holy the Firm,Annie Dillard,HarperCollins Publishers,1984
140126627,Homework,Margot Livesey,Penguin USA,1991
142800082,Hornet Flight,Ken Follett,Penguin Audiobooks,2002
MJ6715593,HOTHOUSE,Brian Wilson Aldiss,Baen,1984
NY1892657,How Fletcher Was Hatched!,Wende Devlin,Town Book Press,1998
BK8904305,How to clean practically anything,Monte Florman,Consumers Union,1986
NOV044050,How to Make Love All the Time,Barbara Deangelis,Dell Publishing Company,1988
HK9631766,How to Turbocharge You: 6 Steps to Tap Your Potential,Larry W. Dennis,Rising Tide Publishing (OR),1994
CC4464009,Humans,Donald E. Westlake,Warner Books,1993
870239651,I Am Because We Are: Readings in Black Philosophy,Fred L. Hord,University of Massachusetts Press,1995
307036715,I Know Numbers (Preschool) (Step Ahead Golden Books Workbook),Golden Books,Golden Books,1999
BK2957400,I Will Fight No More Forever: Chief Joseph and the Nez Perce War,Merrill D Beal,University of Washington Press,1966
140440542,Idiot (Penguin Classics),Fyodor Dostoyevsky,Penguin Books,1956
887818875,Il Dio Del Fiume,Wilbur Smith,Tascabili degli Editori Associati (TEA),2002
MJ6717461,IN A CHILDS NAME : IN A CHILDS NAME,Peter Maas,Pocket,1991
NY1583483,In My Father's Generation,James Martin Rhodes,iUniverse,1999
HK8049011,In the Days of the Comet,H. G. Wells,Airmont Pub Co,1979
CN3548252,In tiefer Trauer.,Dennis Lehane,Ullstein Tb,2001
NY8050726,Infectious Greed: How Deceit and Risk Corrupted the Financial Markets,Frank Partnoy,Times Books,2003
663383692,Inside My Hat: Level 4,Theodore Clymer,Silver Burdett Ginn,1982
REL316146,Internationales Privatrecht,Jan Kropholler,J.C.B. Mohr,1994
CN1348075,Introduction to drawing,Roger Winter,Prentice-Hall,1983
NOV679774,Irish Folk Tales (Pantheon Fairy Tale and Folklore Library),Henry Glassie,Pantheon Books,1997
158314113,Island Magic (Arabesque),Bette Ford,Bet Books,2000
NOV190315,It's Hard to Be Hip Over Thirty...and Other Tragedies of Married Life,Judith Viorst,Persephone Books Ltd,1999
HK1402618,Jackson's Dilemma,Iris Murdoch,Penguin Books,1997
NY3095764,Jane Eyre: With Connections (Hrw Library),Charlotte Bronte,Harcourt School,1999
CN3124414,Jeeves: A Gentleman's Personal Gentleman,C. Northcote Parkinson,St Martins Pr,1981
MJ3405907,Jill and the Perfect Pony (Jill),Ruby Ferguson,Hodder Children's Books,1993
NOV684830,JOHNS WIFE,Robert Coover,Simon Schuster,1997
CN7217059,Journeys in Reading: Level Eight: Touch the Sky (Journeys in Reading),Jaap Tuinman,Schofield Sims Ltd,1995
590679090,Jumanji,George Spelvin,Scholastic,1995
913367346,Just Like Jesus,Max Lucado,Word,1998
REL743205,Kaplan Learning Power (Kaplan Power Books),Cynthia Johnson,Kaplan,2001
HK7434353,Keith Laumer: The Lighter Side,Keith Laumer,Baen,2002
REL446606,Killer Market (Deborah Knott Mysteries (Paperback)),Margaret Maron,Warner Books,1999
MJ2743629,King of the Wind : The Story of the Godolphin Arabian,Marguerite Henry,Simon Schuster Children's Publishing,1990
HK3758124,Kittens Are Like That (Random House Pictureboard Book),Jan Pfloog,Random House Children's Books,2001
CC7472228,KOTA MAMA,John Blashford-Snell,Trafalgar Square Publishing,2001
REL847502,La cambra insomne (Narratives 3 i 4),Ramon Guillem,E. Climent,1992
HK8401541,La fuente del unicornio,Theodore Sturgeon,Plaza Janes Editores,1999
NY8445073,LA Naranja Mecanica,Anthony Burgess,Minotauro,2003
821766554,Lady Diana's Darlings (Zebra Regency Romance),Kate Huntington,Zebra Books,2000
REL373106,Land Of The Incas (Harlequin Presents),Kay Thorpe,Harlequin,1983
NOV373168,Last - Minute Marriage (Harlequin American Romance 822),Karen Toller Whittenburg,Harlequin,2000
NY8499367,Laugh Again,Charles R. Swindoll,W Publishing Group,1995
225305006,Le Dernier jour d'un condamne,Victor Hugo,Schoenhofs Foreign Books,1989
HK2264031,Le Point de non retour,Wentworth,Editions 10/18,2000
811841693,Learn to Be an Optimist,Lucy Macdonald,Chronicle Books,2004
MJ3293201,"Learning C++ from ""ABC""",Ken; Sun; David; Jimmy; Michael; Russell,HKCC Book Store,2000
207076175,"Learning JAVA from ""ABC""","Lo L. P., Russell",HKCC Book Store,2001
CC6717978,Legacy of the Heart : The Spiritual Advantage of a  Painful Childhood,Wayne Muller,Fireside,1993
REL207040,Les chiens noirs,Ian McEwan,Gallimard,1996
HK1562801,Lesbian Sex: An Oral History,Susan E. Johnson,Naiad Press,1996
MJ0516026,Let's Talk About Being Destructive (Let's Talk About Series),Joy Wilt Berry,Scholastic Library Pub,1984
CC5860680,Life goes on,Alan Sillitoe,Grafton Books,1987
MJ8024381,Light from Heaven,Christmas Carol Kauffman,Moody Pr,1965
REL140088,Linden Hills (Contemporary American Fiction Series),Gloria Naylor,Penguin Books,1995
MJ6881128,Little bird,Saviour Pirotta,William Morrow,1992
312915934,Little Saigon,T. Jefferson Parker,St. Martin's Paperbacks,2004
REL743225,Living Proof : A Medical Mutiny,Michael Gearin-Tosh,Scribner,2002
BK3454556,London : The Novel,EDWARD RUTHERFURD,Ballantine Books,2002
HK4491256,Long Lavender Look,John D. MacDonald,Fawcett Books,1985
REL345326,Lord Fouls Bane #1 (Chronicles of Thomas Covenant the Unbeliever),Stephen R. Donaldson,Del Rey Books,1978
CN8401474,Los ojos del dragon,Stephen Kin,Plaza Janes Editores,2000
REL782111,Lotus 1-2-3 Release 2.3 2.4 for DOS Instant Reference,Judd Robbins,Sybex Inc,1992
CC6105490,Love in Vein,Poppy Z. Brite,Eos,1995
393039595,Loverboys: Stories,Ana Castillo,W. W. Norton Company,1996
CN3730059,Lucifer's Angel,Violet Winspear,Harlequin,1980
NOV374524,Lytton Strachey: The New Biography,Michael Holroyd,Noonday Press,1995
NY2253004,Madame Bovary,Gustave Flaubert,Ideal Foreign Books,2000
HK3492049,Magic of C++ programming,"D., Chu; J., Hui; M., Yeung; R., Lo",HKCC Book Store,2001
HK6717046,MAGIC POWER OF SELF-IMAGE PSYCHOLOGY,Maxwell Maltz,Pocket,1989
REL316776,Make Believe : A Novel,Joanna Scott,Back Bay Books,2001
BK3458336,Mallorca. Ein literarisches Port.,Sieglinde Oehrlein,Insel,1998
738208248,Managing Transitions: Making the Most of Change,William Bridges,Perseus Publishing,2003
375503234,Mapping the Edge: A Novel,Sarah Dunant,Random House Trade,2001
70111243,Marketing Myths That Are Killing Business: The Cure for Death Wish Marketing,Kevin J. Clancy,McGraw-Hill,1993
HK1928351,Mary Barton (Oxford World's Classics),Elizabeth Gaskell,Oxford University Press,1998
NOV360893,Mastering Programming Skills,Michael Yeung,HKCC Book Store,2020
CC3059941,Mastering Rubik's Cube: The Solution to the 20th Century's Most Amazing Puzzle,Donald Taylor,Henry Holt Co,1981
REL140030,May We Borrow Your Husband and Other Comedies of the Sexual Life,Graham Greene,Penguin Books Ltd,1969
156980091,Measuring Lives: A Thiller,Tom Foley,Barricade Books,1996
CN4650445,Men and Women of the Corporation,Rosabeth Moss Kanter,Basic Books,1979
NOV785324,Merry Christmas: Treasury of Stories and Songs,Publications International,Publications International,1997
NY3129168,Michigan Roll (Mean Streets),Tom Kakonis,St Martins Pr,1991
380773716,Midnight Rain,Elizabeth Turner,Harper Mass Market Paperbacks,1994
786702478,Mind Games,C. J. Koehler,Pub Group West,1996
NY1591130,Mirror Man,William M. Heim,Booklocker.com,2002
NY0516041,Mississippi (New Enchantment of America State Books),John Allan Carpenter,Children's Press (CT),1978
NY0060919,Modern Baptists,James Wilcox,Harpercollins,1990
345358716,Money and Class in America: Notes and Observations on the Civil Religion,Lewis H. Lapham,Ballantine Books,1989
REL373094,Moon And Sun,Allyson Ryan,Silhouette,1988
CC8908170,More Hours in My Day,Emilie Barnes,Harvest House Publishers,1989
NY6109958,Mortal Remains: A True Story of Ritual Murder,Henry Scammell,Harper Mass Market Paperbacks,1992
BK7011814,Motion,Patricia Collins,McGraw-Hill,1974
NOV671015,Mr. Macgregor,Alan Titchmarsh,Simon Schuster (Trade Division),1999
847223048,Mueran Los Cabrones Y Los Campos Del Honor,Benjamin Peret,Spanish Language Book Services Inc,2002
881840718,Murder for Pleasure: The Life and Times of the Detective Story,Howard Haycraft,Pub Group West,1984
BK6714251,MURDER ROG ACKROYD,Agatha Christie,Pocket,1980
CN8075531,My Body Is Private (Albert Whitman Concept Books),Linda Walvoord Girard,Albert Whitman Company,1992
CC6066453,My Inspirational Favorites,Norman Vincent Peale,Harpercollins,1992
CN3454395,My Russian (Ballantine Reader's Circle),DEIRDRE MCNAMER,Ballantine Books,2000
BK0801044,Mystery in Massachusetts (X-Country Adventures),Bob Schaller,Baker Books,2001
NOV380718,Naked Ghosts: Intimate Stories from the Files of a Sex Therapist,Carol G. Wells,Harper Mass Market Paperbacks,1992
BK4481233,Native Tongues: The Book of Language Facts,Charles Berlitz,Smithmark Pub,1985
771090994,Neil and Me,Scott Young,McClelland Stewart,1997
NOV201567,Never Too Late: My Musical Life Story,John Holt,Addison Wesley Publishing Company,1991
CN4351240,New Windmills: The Handmaid's Tale (New Windmills),Margaret Atwood,Heinemann Educational Books,1993
REL059042,Night Before Christmas,Clement Clarke Moore,Scholastic,1995
NY6717499,Night Woman,Nancy Price,Pocket Books,1993
HK3161399,No Arm in Left Field (Matt Christopher Sports Classics),Matthew F Christopher,Little,1987
NY4410115,No Phule Like an Old Phule,Robert Asprin,Ace Books,2004
NY1362315,No-Nonsense Nutrition for Your Baby's First Year,A. Natow,Prentice Hall,1988
NY3948296,Not on a White Horse,Nancy Springer,Random House Childrens Books,1989
NY8662531,Now you can read-- John the Baptist (Now you can read--Bible stories),Arlene C Rourke,Rourke Publications,1985
BK8125447,Oaths and Miracles,Nancy Kress,Tor Books,1997
340414481,"Object-oriented programming with C++, 1st edition.",David; Jimmy; Michael; Russell,HKCC Book Store,2001
BK1401864,Of Mice and Men (Twentieth-Century Classics),John Steinbeck,Penguin Books,1994
157072217,Old Murders (Silver Dagger Mysteries (Hardcover)),Frankie Y. Bailey,Silver Dagger Mysteries,2003
316330116,On Killing : The Psychological Cost of Learning to Kill in War and Society,Lt. Col. Dave Grossman,Back Bay Books,1996
REL082176,Once a Pirate: Jewels of the Sea (Jewels of the Sea),Tammy Hilz,Zebra Books,2000
BK5175474,One Hundred and One More Uses for a Dead Cat,Simon Bond,Crown Publishing Group (NY),1982
BK0440207,One-Minute Coin Expert (One-Minute Coin Expert),Scott A. Travers,Dell Publishing Company,1991
312010753,Oprah!,Robert Waldron,St Martins Pr,1987
CN6718464,Ornamental Trees (The Burpee American Gardening Series),Charles O. Cresson,Macmillan General Reference,1993
NY8886297,Our Land : Native Rights in Canada (Canadian Issue Series),Donald Purich,Lorimer,1986
CN1556523,Outdoor Survival Skills,Larry Dean Olsen,Chicago Review Press,1997
